laptime_sec,samples,mean_error,rmse,stddev,mean_abs_error,max_abs_error,avg_linear,avg_abs_linear,avg_angular,avg_abs_angular,max_linear,max_abs_angular
23.513458,707,-0.018784,0.261731,0.261241,0.21076,0.643902,0.375386,0.375386,-0.013218,0.182799,0.75,1
23.291626,699,-0.018643,0.280378,0.279958,0.228588,0.636585,0.400637,0.400637,-0.012582,0.200145,0.75,1
23.274537,699,-0.009847,0.281124,0.281153,0.229499,0.604878,0.415816,0.415816,-0.007674,0.198051,0.75,1
22.886236,688,-0.019016,0.275956,0.275501,0.223093,0.602439,0.396182,0.396182,-0.01305,0.199252,0.75,0.987407
23.211143,697,-0.008405,0.287093,0.287176,0.233104,0.629268,0.404901,0.404901,-0.005336,0.203214,0.75,1
23.020096,691,-0.021041,0.279823,0.279233,0.22654,0.626829,0.396777,0.396777,-0.015052,0.203401,0.75,1
23.352588,701,-0.011586,0.286121,0.286091,0.232915,0.67561,0.395763,0.395763,-0.008868,0.208124,0.75,1
23.354773,701,-0.02223,0.279645,0.278959,0.224923,0.641463,0.401059,0.401059,-0.015065,0.199014,0.75,1
22.822953,686,-0.018118,0.29065,0.290297,0.23431,0.636585,0.388512,0.388512,-0.012936,0.214084,0.75,1
23.090884,693,-0.020304,0.283788,0.283265,0.228371,0.592683,0.389485,0.389485,-0.013739,0.198988,0.75,0.935892
